ID;PARENT_ID;NIMI;BANNER_URL;KUVAUS_FI;KUVAUS_SV;KUVAUS_EN;NIMI_EN;NIMI_SV;CollectionPAGELink
470;381;Kalenterit;/images/collections/sv_blue.png;Kokoelmassa on ruotsinkielisiä kaupunginkalentereita, tiedeakatemian kalentereita ja hovikalentereita.;I samlingen ingår svenskspråkiga stadskalendrar, Vetenskapsakademiens kalendrar och hovkalendrar.;The collection consists of city calendars, the Royal Swedish Academy of Science's calendars and court calendars.;Calendars;Kalendrar;https://digi.kansalliskirjasto.fi/collections?id=470
472;381;Katekismukset;/images/collections/sv_blue.png;;;;Catechisms;Katekeser;https://digi.kansalliskirjasto.fi/collections?id=472
473;381;Kaunokirjallisuus (rv);/images/collections/vesi.png;Suomen-, ruotsin- ja latinankielistä kaunokirjallisuutta.;Skönlitteratur på finska, svenska och latin.;Fiction in Finnish, Swedish and Latin.;Fiction in Finnish, Swedish and Latin;"	Skönlitteratur på finska, svenska och latin";https://digi.kansalliskirjasto.fi/collections?id=473
475;381;Kirkkohistoria;/images/collections/sv_blue.png;;;;Ecclesiastical History;Kyrkohistoria;https://digi.kansalliskirjasto.fi/collections?id=475
463;381;Almanakat;/images/collections/sv_boat.png;"Kokoelma sisältää suomen- ja ruotsinkielisiä almanakkoja vuosilta 1608-1809.

Huomaathan määritelmät Kielitoimiston sanakirjan mukaan:
almanakka: kalenterin, tähtitieteellisiä tietoja ym. sisältävä kirjanen

kalenteri: teos joka tavallisesti sisältää vuosittainen kalenteriosan sekä katsauksia, luetteloita tms., almanakka; myös muista vuotuisista käsi- ja muistikirjoista; päivyri, muistio

(Kotimaisten kielten keskus ja Kielikone Oy, viitattu 2.6.2023).";Samlingen innehåller finsk- och svenskspråkiga almanackor från åren 1608-1809.;The collection contains Finnish- and Swedish-language almanacs from 1608-1809.;Almanacs;Almanackor;https://digi.kansalliskirjasto.fi/collections?id=463
465;381;Filosofia;/images/collections/sv_blue.png;;;;Philosophy;Filosofi;https://digi.kansalliskirjasto.fi/collections?id=465
467;381;Hengelliset laulukirjat;/images/collections/svranta.png;Hengellisten laulukirjojen lisäksi kokoelma sisältää jonkin verran arkkiveisuja.;Utöver andliga sångböcker innehåller samlingen även en del skillingtryck.;In addition to ecclesiastical songbooks the collection contains some broadsides.;Ecclesiastical songbooks;Andliga sångböcker;https://digi.kansalliskirjasto.fi/collections?id=467
468;381;Henkilökirjallisuus;/images/collections/drott.png;Kokoelmaan sisältyy ruumissaarnoja, hautajaispuheita ja onnittelurunoja – myös kuninkaallisten ja ruhtinaallisten osalta.;Till samlingen hör likpredikningar, griftetal och lyckönskningsdikter – även gällande kungliga och furstliga personer.;The collection contains funeral sermons, funeral speeches and congratulatory poems – also for royalty and nobility.;Funeral sermons;Personskrifter;https://digi.kansalliskirjasto.fi/collections?id=468
469;381;Historia;/images/collections/sv_blue.png;Historia-alakokoelma muodostuu virallisjulkaisuista, erillisteoksista, sotahistoriaan liittyvistä pienpainatteista, puheista ja kirjeistä.;Delsamlingen Historia består av officiella publikationer, monografier, småtryck angående krigshistoria, tal och brev.;The History subcollection consists of official publications, monographs, ephemera concerning war history, speeches and letters.;History;Historia;https://digi.kansalliskirjasto.fi/collections?id=469
476;381;Kirkolliset käsikirjat;/images/collections/sv_blue.png;Kirkollisia käsikirjoja ja evankeliumikirjoja latinaksi, suomeksi ja ruotsiksi.;Kyrkliga handböcker och evangelieböcker på latin, finska och svenska.;Ecclesiastical manuals and evangelaries in Latin, Finnish and Swedish.;Ecclesiastical Manuals;Kyrkliga handböcker;https://digi.kansalliskirjasto.fi/collections?id=476
477;381;Lääketiede;/images/collections/drott.png;;;;Medicine;Medicin;https://digi.kansalliskirjasto.fi/collections?id=477
478;381;Maantiede;/images/collections/sv_blue.png;;;;Geography;Geografi;https://digi.kansalliskirjasto.fi/collections?id=478
481;381;Puolustus;/images/collections/sv_boat.png;Kokoelmassa on sotaväen asetuksia, ohjesääntöjä, sotalakeja ja erillisteoksia.;I samlingen ingår militärens förordningar, reglementen, krigslagar och monografier.;The collection consists of military decrees, regulations, military laws, and monographs.;Defence;Försvar;https://digi.kansalliskirjasto.fi/collections?id=481
482;381;Raamatut;/images/collections/sv_blue.png;;;;Bibles;Biblar;https://digi.kansalliskirjasto.fi/collections?id=482
483;381;Saarnakirjallisuus;/images/collections/sv_sea.png;Saarnakirjallisuuden kokoelma sisältää myös rukouspäivätekstejä, joita alettiin julkaista 1700-luvun loppupuolella rukouspäiväjulkaisuista erillisinä.;Samlingen innehåller även bönedagstexter som började publiceras separat från andra bönedagspublikationer i slutet av 1700-talet.;The collection also contains prayer texts for intercession days, which  at the end of the 18th century began to be published separately from other intercession day publications.;Postils;Postillor;https://digi.kansalliskirjasto.fi/collections?id=483
486;381;Teologia;/images/collections/sv_blue.png;Kokoelmaan sisältyy tuomiokapitulien kiertokirjeitä, kirkkolakeja, virallisjulkaisuja ja teologian erillisteoksia.;I samlingen ingår domkapitlens cirkulär, kyrkolagar, officiella publikationer och monografier inom teologi.;The collection contains cathedral chapters' circular letters, church codes, official publications and theological monographs.;Theology;Teologi;https://digi.kansalliskirjasto.fi/collections?id=486
487;381;Virsikirjat;/images/collections/sv_blue.png;Virsikirjoja suomeksi ja ruotsiksi.;Finsk- och svenskspråkiga psalmböcker.;Finnish- and Swedish-language hymn books.;Hymn Books;Psalmböcker;https://digi.kansalliskirjasto.fi/collections?id=487
521;24;Osoitekalentereita;images/collections/kkgen.png;Osoitekalentereita eri puolilta Suomea;Ett urval adress- och yrkeskalendrar från olika delar av Finland;Some addressbooks from different areas of Finland;Address- and profession calendars;Ett urval adress- och yrkeskalendrar;https://digi.kansalliskirjasto.fi/collections?id=521
21;501;Klassikkokirjasto;/images/collections/klas2.png;"Suomalainen Klassikkokirjasto on kattava ja lähdekriittinen kokonaisuus suomen- ja ruotsinkielistä kaunokirjallisuutta sekä siihen liittyvää tutkimustietoa. Se on suunniteltu tutkimuksen, koulutuksen ja kansansivistystyön tarpeisiin. Kokoelman tekijänoikeusvapaat teokset ovat kaikkien vapaasti käytettävissä internetin välityksellä. Kokoelmaan sisältyy Kansalliskirjaston, Sanaston ja Kopioston välisellä sopimuksella myös vuosina 1948–1960 kuolleiden kirjailijoiden tekijänoikeudenalaisia teoksia. (Tekijänoikeusalainen kaunokirjallisuus on käytettävissä Suomessa tutkimus- ja opetustarkoitukseen kolmen vuoden ajan (vaatii Haka-tunnistautumisen). Sen lisäksi kokoelmaan kuuluu vapaasti käytettävissä olevia vuoteen 1972 mennessä ilmestyneitä tietokirjoja, erityisesti kirjallisuushistoriallisia teoksia.)

Klassikkokirjasto on suunnattu laajalle käyttäjäkunnalle. Tekstit ovat mm. erilaisten opetus- ja tutkimushankkeiden käytössä kouluissa ja yliopistoissa, niin kotimaassa kuin ulkomailla. Kokoelmassa ovat ensisijaisia teokset ja kirjailijat, joilla on vakiintunut asema kirjallisuushistoriassa. Sen lisäksi kokoelmaan on liitetty vähemmän tunnettuja mutta kirjallisuushistoriallisesti tärkeitä teoksia (esim. oman lajinsa pioneerit) sekä erikoiskokoelmia. Klassikkokirjastossa ilmestyneet teokset ovat pääasiassa ensipainoksia.

Klassikkokirjaston kokoelma on valmistunut Klassikkokirjasto-hankkeessa, Helsingin yliopiston Suomalais-ugrilaisen ja pohjoismaisen osaston, Kansalliskirjaston sekä Helsingin yliopiston kirjaston yhteistyönä. Hankkeessa on myös perustettu Kotimaisen kirjallisuuden digitaalinen vuosikirja <a href=""https://journal.fi/joutsen-svanen"" target=""_new"">Joutsen ‒ Svanen</A>,  suomalaista kirjallisuutta koskeva tieteellinen aikakauslehti. Vuosikirja on suomen-, ruotsin- ja englanninkielinen referee-julkaisu, joka sisältää tutkimusartikkeleita, kirja-arvosteluja, haastatteluja ja katsauksia. Vuosikirjan ohella ilmestyy myös <a href=""https://journal.fi/joutsen-svanen-erikois-special"" target=""_new"">temaattisia erikoisjulkaisuja</A>.";"Klassikerbiblioteket är en omfattande och källkritisk sammanställning av finsk- och svenskspråkig finländsk litteratur samt av forskningsdata som gäller denna litteratur. Samlingen har sammanställts med tanke på behov inom forskning, utbildning och folkbildande arbete. Samlingens upphovsrättsfria verk är fritt tillgängliga via internet. I samlingen ingår upphovsrättsskyddad litteratur av författare som dött åren 1948–1960, som kunnat digitaliseras tack vare ett avtal mellan Nationalbiblioteket, Sanasto och Kopiosto. (Den upphovsrättsskyddade skönlitteraturen är tillgänglig i Finland under tre år för forsknings- och undervisningsändamål (för att få tillgång till dessa verk bör man logga in med Haka-lösen). I samlingen ingår också fritt tillgänglig facklitteratur utgiven fram till år 1972, framför allt litteraturhistoriska verk.)

Finländska Klassikerbiblioteket har planerats för en bred användarkrets. Texterna är tillgängliga för t.ex. olika undervisnings- och forskningsändamål, i såväl Finland som andra länder. I samlingen har man prioriterat verk och författare som har en etablerad ställning i litteraturhistorien. Därtill ingår också mindre kända, litteraturhistoriskt intressanta verk (t.ex. pionjärer inom en genre) och specialsamlingar. Verken i Klassikerbiblioteket är i huvudsak förstaupplagor.

Klassikerbibliotekets samling har sammanställts inom projektet Klassikerbiblioteket, ett samarbete mellan Finskugriska och nordiska avdelningen vid Helsingfors universitet, Nationalbiblioteket och Helsingfors universitets bibliotek. Projektet har också grundat den digitala årsboken för forskning i finländsk litteratur, <a href=""https://journal.fi/joutsen-svanen"" target=""_new"">Joutsen / Svanen</A>, en vetenskaplig tidskrift som behandlar den finländska litteraturen. Årsboken är en finsk-, svensk- och engelskspråkig, kollegialt granskad publikation som innehåller forskningsartiklar, recensioner, intervjuer och översikter. Också <a target=""_new"" href=""https://journal.fi/joutsen-svanen-erikois-special"">tematiska specialutgåvor</A> utges vid sidan om årsboken.";"The Finnish Classics Library is 

    a comprehensive and critical source of Finnish and Swedish fiction and related research information 

    a cultural historical resource for research, education and adult education 

    freely available via internet 

The Classics Library is aimed at a large audience. The texts are available for education and research projects in schools and universities both in Finland and abroad. Classic works and authors, who have established their position in literary history, have been prioritized in the collection. In addition, we have included books that are less known but interesting for the history of literature (e.g. pioneers of their field) and books belonging to special collections. The classics books are mostly first editions.

The Classics Library was collected in a collaborative project by the department of Finnish, Finno-Ugrian and Scandinavian studies of the University of Helsinki, the National Library of Finland, and the Helsinki University Library. As a part of the project, we established  <a href=""https://journal.fi/joutsen-svanen"" target=""_new"">Joutsen - Swanen (journal.fi)</A>: Yearbook of Finnish Literary Research. It is a Finnish, Swedish and English-language referee publication, which contains high quality research articles, book reviews, interviews, and reviews. Besides the annual publication there are also <a target=""_new"" href=""https://journal.fi/joutsen-svanen-erikois-special"">thematic special publications</A>.";Classics library;Klassikerbiblioteket;https://digi.kansalliskirjasto.fi/collections?id=21
24;;Aikakauslehdet;images/collections/kkgen.png;Suomessa julkaistut (yleiset) aikakauslehdet aina vuoteen 1939 loppuun saakka. Lisäksi kasvava määrä lehtiä eri tutkimuksiin.;;;Journals;Tidskrifter;https://digi.kansalliskirjasto.fi/collections?id=24
25;;Teollisuuden pienpainatteet;images/collections/pie8.png;"Kokoelma sisältää Suomen teollisuuden historian hinnastojen ja tuoteluetteloiden muodossa. Tunnetut teollisuuslaitokset Arabiasta Iittalaan, Billnäsiin ja Nokiaan ovat mukana, samoin pienet yritykset ja kauppahuoneet. Tarkkaa painovuotta ei ole tiedossa noin 35 prosentille materiaalista. Lista <b><a href=""https://digi.kansalliskirjasto.fi/pienpainate/directory/2"">pienpainatteista julkaisijoittain</A></b> ja <b><a href=""https://digi.kansalliskirjasto.fi/pienpainate/centuries"">vuosittain</A></b>.";"Samlingen innehåller Finlands industriella historia i form av prislistor och produktkataloger. Här finns material från Arabia till Iittala, från Billnäs och Nokia men också från småföretag och handelshus. Det exakta tryckåret syns inte i ca 35 procent av materialet.

Här hittar du huvudindexet över <a href=""https://digi.kansalliskirjasto.fi/pienpainate/directory/2"">utgivare av småtryck</A>  och <a href=""https://digi.kansalliskirjasto.fi/pienpainate/centuries"">småtryck efter årtal</A>.";"The collection contains Finland's industrial history in the shape of price lists and product catalogues. Well known industrial companies like Arabia, Iittala, Billnäs and Nokia are included, as well as small companies and trading houses. List <a href=""https://digi.kansalliskirjasto.fi/pienpainate/directory/2"">of ephemera publishers</A> and  <a href=""https://digi.kansalliskirjasto.fi/pienpainate/centuries"">ephemera by year</A>.

The exact printing year is not known in about 35 percent of the material.";Ephemera;Småtryck;https://digi.kansalliskirjasto.fi/collections?id=25
